0.724,0.712
0.001,0.015
0.934,0.301
1,0.166666667
0.518,0.232
0.697,0.524
0.431,0.123
0.642,0.454
0.117,0.064
0.208,0.057
0.373,0.381
0.563,0.645
0.006,0.004
0.001,0.001
0.184,0.259
0.956,0.878
0.033333333,0.05
0.205,0.805
0.001,0.001
0.012,0.012
0.001,0.001
0.001,0.466
0.916666667,0.997222222
0.314,0.988
0.186,0.102
1,0.306
0.001,0.001
0.505,0.021
0.124,0.004
0.011111111,0.672222222
0.004,0.117
0.8,0.128
0.511,0.61
0.18,0.135
0.288,0.704
0.921,0.342
0.084,0.967
0.119,0.882
0.004,0.757
0.002777778,0.109722222
0.333333333,0.333333333
0.61,0.638
0.746,0.457
0.23,0.708
0.602,0.786
0.007,0.004
0.001,0.226
0.001,0.194
0.52,0.456
0.233333333,0.013888889
0.001,0.048
0.5,0.666666667
0.001,0.001
0.018,0.096
0.006,0.091
0.005,0.088
0.978,0.903
0.012,0.227
0.046,0.371
0.555,0.229
0.011111111,0.133333333
0.038888889,0.233333333
0.024,0.095
0.15,0.826
0.167,0.018
0.003,0.496
0.027,0.024
0.241,0.175
0.045,0.016
0.71,0.022
0.485,0.495
0.788,0.779
0.79,0.29
0.089,0.314
0.673,0.561
0.003,0.05
0.293,0.311
0.242,0.666
0.345,0.648
0.031,0.104
0.024,0.593
0.752,0.529
0.966,0.711
0.1,0.1
0.02,0.14
1,0.133333333
0.701,0.671
0.253,0.156
1,0.921
0.2,0.2
0.6,1
1,1
0.614,0.314
0.015,0.015
0.171,0.182
1,0.532
0.606,0.411
0.533,0.254
0.19,0.033
0.615,0.678
0.003,0.013
0.871,0.878
0.031,0.011
0.423,0.497
0.009,0.002
0.042,0.052
0.027,0.914
0.888,0.391
0.003,0.417
0.427,0.373
0.395,0.614
0.263,0.25
0.815,0.823
0.002777778,0.201388889
0.001,0.572
0.066666667,0.166666667
0.116666667,0.116666667
0.004,0.061
0.082,0.226
0.772,0.817
0.644444444,0.333333333
0.568,0.631
0.308,0.502
0.564,0.645
0.231,0.388
0.376,0.313
0.337,0.287
0.615,0.764
0.29,0.437
0.115,0.506
0.134,0.821
0.01,0.003
0.005,0.147
1,0.342
0.681,0.262
0.666,0.512
0.392,0.076
0.521,0.221
0.743,0.831
0.514,0.739
0.431,0.015
0.229,1
0.138,0.26
0.022,0.383
0.616,0.713
0.151,0.037
0.102,0.576
0.559,0.232
0.214,0.432
0.456,0.424
0.31,0.12
0.645,0.879
0.312,0.185
0.427,0.431
1,1
0.459,0.386
0.001,0.001
0.001,0.074
0.188,0.186
0.307,0.286
0.006,0.4
0.509,0.197
0.107,0.119
0.042,0.014
0.256,0.224
0.004,0.81
0.002,0.055
0.021,0.203
0.045,0.001
0.796,0.717
0.001,0.559
0.21,0.796
0.203,0.809
0.516666667,0.036111111
0.041,0.047
0.272,0.295
0.587,0.742
0.031,0.148
0.284,0.237
0.007,0.035
0.241,0.025
0.068,0.176
0.066666667,1
0.011,0.001
0.037,0.005
0.001,0.001
0.001,0.001
0.001,0.001
0.005,0.016
0.068,0.063
0.344,0.338
0.666666667,0.166666667
0.061,0.279
